time,latitude,longitude,depth,mag,Year
2023-02-09T17:51:52.392Z,38.0746,36.5194,10,4,2023
2023-02-09T11:48:32.158Z,37.9921,37.7044,10,4.3,2023
2023-02-09T10:42:24.454Z,37.2659,36.9198,11.669,4.3,2023
2023-02-09T10:19:06.856Z,39.1974,40.1831,10.605,4.3,2023
2023-02-09T09:46:55.926Z,38.0605,38.6406,12.373,4.3,2023
2023-02-09T07:57:06.462Z,38.0799,36.5452,8.987,4.2,2023
2023-02-09T07:42:08.070Z,37.995,36.5954,6.994,4.3,2023
2023-02-09T07:18:17.198Z,36.9611,36.6603,8.379,4.6,2023
2023-02-09T06:49:51.214Z,37.8752,37.6589,14.944,4.1,2023
2023-02-09T05:37:34.149Z,38.1849,38.1997,15.513,4.3,2023
2023-02-09T05:24:26.530Z,38.0679,36.6086,8.594,4.4,2023
2023-02-09T04:34:45.242Z,38.0951,38.4712,15.955,4.3,2023
2023-02-09T04:18:20.615Z,37.9616,36.3641,10,4.3,2023
2023-02-09T03:52:19.602Z,37.9889,38.5654,13.975,4.3,2023
2023-02-09T03:24:55.884Z,36.8136,36.4252,10,4.3,2023
2023-02-09T01:44:19.249Z,37.8831,37.7147,8.154,4.5,2023
2023-02-09T01:38:13.866Z,38.4984,40.4216,8.839,4.4,2023
2023-02-09T00:32:16.755Z,38.3957,39.284,14.83,4.2,2023
2023-02-08T23:40:01.561Z,38.512,40.4236,13.017,4.2,2023
2023-02-08T22:36:49.468Z,38.2135,38.1703,10,4,2023
2023-02-08T20:12:06.104Z,38.1972,38.1247,10,4.5,2023
2023-02-08T19:48:11.735Z,36.3313,36.0996,10,4.2,2023
2023-02-08T19:05:19.712Z,38.0531,36.5409,10,4.5,2023
2023-02-08T18:58:55.148Z,34.2985,36.2101,10,4.1,2023
2023-02-08T18:35:12.129Z,37.5096,37.116,10,4.4,2023
2023-02-08T17:57:22.727Z,39.7542,40.744,10,4.4,2023
2023-02-08T16:55:40.516Z,38.0244,37.1589,10,4.4,2023
2023-02-08T15:49:58.075Z,37.8218,36.5994,1.576,4.3,2023
2023-02-08T15:04:43.256Z,38.0391,36.953,10,4.3,2023
2023-02-08T14:55:51.504Z,38.0396,38.5055,16.116,4.3,2023
