latitude,longitude,depth,mag,Timestamp,Year
36.3649,36.4413,10,4.4,1675657883,2023
37.2919,36.8854,12.9,4.3,1675657862,2023
37.555,37.2001,13.4,4.1,1675657485,2023
38.1845,38.5342,16.4,5,1675657126,2023
37.5236,37.2784,11.8,4.5,1675657009,2023
38.1847,38.6102,10,4.4,1675656857,2023
37.0844,36.9133,12.1,4.2,1675656356,2023
37.7658,37.4588,10,4.1,1675656315,2023
37.8315,37.3919,5,4.4,1675656262,2023
36.6427,36.426,10,4.3,1675655899,2023
37.3982,36.8946,10,4.2,1675655710,2023
37.7604,37.4251,14.5,4.3,1675655640,2023
38.1656,38.65,16.4,4.8,1675655148,2023
37.2442,37.1335,15.7,4.3,1675654888,2023
38.2368,38.5132,9.2,4.2,1675654539,2023
37.0297,36.7506,10,4.2,1675654200,2023
38.0773,38.5775,16.8,4.4,1675654125,2023
37.9268,37.8357,5.9,4.4,1675653870,2023
38.1446,38.558,12.5,4.3,1675653764,2023
37.733,37.4257,10,4,1675653555,2023
38.0715,38.4951,17.3,4.3,1675653376,2023
37.5003,37.3267,3.6,4.5,1675653131,2023
37.7127,37.8001,16.1,4.4,1675653020,2023
38.1742,38.482,16.7,4.7,1675652685,2023
37.9204,37.7822,10,4.4,1675652538,2023
38.1475,38.435,14,4.1,1675652474,2023
38.8063,38.8222,13.3,4.4,1675652211,2023
36.7084,36.3519,10,4.7,1675652040,2023
38.5461,40.4563,12.9,4.2,1675651934,2023
36.8497,36.3895,10,4.2,1675651427,2023
37.8697,38.3908,10,4.2,1675651124,2023
37.0822,37.0363,10,4.7,1675650891,2023
37.4941,37.2266,14.6,4.3,1675650858,2023
38.1084,38.495,17.9,4.4,1675650808,2023
37.5639,37.1467,17.4,4.5,1675650728,2023
37.4137,36.8216,12.1,4.5,1675650686,2023
37.4292,36.9502,8,4.1,1675650523,2023
37.1816,36.9658,11.4,5.3,1675650194,2023
37.4358,37.0658,14.3,4.2,1675650080,2023
37.1024,36.7301,12.2,4.8,1675649860,2023
37.4468,37.0449,10,4.2,1675649769,2023
37.2863,36.8539,10,4.2,1675649620,2023
37.9265,38.2237,16.7,4.1,1675649508,2023
38.1562,38.5195,14.3,4.4,1675649416,2023
37.9123,38.1388,10,5,1675649183,2023
37.7712,37.9141,16.9,5.3,1675649017,2023
37.3512,37.095,10.5,4.8,1675648905,2023
37.7238,37.8026,16.2,4.5,1675648878,2023
37.0302,36.6208,10,5.1,1675648703,2023
37.2073,36.5988,10,4.4,1675648541,2023
36.3603,36.1708,10,4.4,1675648476,2023
37.4756,37.1578,7.4,4.7,1675648303,2023
38.2291,38.7493,14.8,4.8,1675648210,2023
37.9874,38.1051,10,4.9,1675648092,2023
38.6055,40.5767,11.4,4.6,1675648063,2023
37.9786,38.5121,14.4,4.6,1675647675,2023
36.6696,36.4767,10,4.7,1675647648,2023
36.9921,36.6832,10,5.6,1675647387,2023
37.1784,36.9468,10.7,6.7,1675646895,2023
